NORAD_CAT_ID,OBJECT_NAME,EPOCH,BSTAR,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SOURCE_URL,RETRIEVED_AT
33920,COSMOS 2251 DEB,2026-08-25T05:53:26.433312,0.0010843,74.0598,171.3866,0.0031758,119.7627,240.6705,14.61625654,CelesTrak (Manual Download),20260826T042208Z
33922,COSMOS 2251 DEB,2026-08-25T09:13:14.822976,0.00028070523,74.0473,28.0952,0.00220078,73.047,313.2411,14.50208831,CelesTrak (Manual Download),20260826T042208Z
33924,COSMOS 2251 DEB,2026-08-25T07:59:49.039008,0.00030919412,73.9106,219.2548,0.04025456,208.3316,149.5369,13.50516468,CelesTrak (Manual Download),20260826T042208Z
33928,COSMOS 2251 DEB,2026-08-25T02:43:11.815680,0.00013264501,73.9247,291.5424,0.00598294,172.2854,187.924,14.47880388,CelesTrak (Manual Download),20260826T042208Z
33932,COSMOS 2251 DEB,2026-08-25T21:54:13.945824,0.00026684953,74.0326,203.1748,0.0037521,221.6918,138.1377,14.39358146,CelesTrak (Manual Download),20260826T042208Z
33933,COSMOS 2251 DEB,2026-08-25T15:23:58.988544,0.00017038371,74.0898,313.5203,0.00726092,257.7717,101.5297,14.33941872,CelesTrak (Manual Download),20260826T042208Z
33934,COSMOS 2251 DEB,2026-08-25T16:01:06.580992,0.00043262055,74.0391,332.1779,0.00159636,21.4844,338.6989,14.60783149,CelesTrak (Manual Download),20260826T042208Z
33936,COSMOS 2251 DEB,2026-08-25T12:04:30.965088,0.00034014004,74.0146,268.0103,0.00282969,351.3063,8.7609,14.61700212,CelesTrak (Manual Download),20260826T042208Z
33938,COSMOS 2251 DEB,2026-08-25T07:18:00.154080,0.00026439,74.0434,89.671,0.0015772,112.2152,5.0787,14.47567599,CelesTrak (Manual Download),20260826T042208Z
33939,COSMOS 2251 DEB,2026-08-25T03:32:58.119360,0.0039168,73.9907,266.2857,0.0012691,306.9553,53.0491,15.40377962,CelesTrak (Manual Download),20260826T042208Z
33940,COSMOS 2251 DEB,2026-08-25T08:22:48.242208,0.00060215006,74.0403,15.8735,0.0011511,28.1467,357.7737,14.60784142,CelesTrak (Manual Download),20260826T042208Z
